Target Name,Genotype,Experiment,avgCT,dCT,Line,Cell_type,Treatment,mean_dCT,sd_dCT,se,ddCT,FC,log2FC
MS4A6A,CC,615,21.715,-4.445499999999999,2607,iMGL,Basal,-4.35769524,0.4387233737975188,0.19620305742586042,-0.08780475999999915,1.062751842360532,0.08780475999999911
MS4A7,CC,615,22.783,-3.3774999999999977,2607,iMGL,Basal,-3.3774999999999977,NA,NA,0,1,0
TBP,CC,615,26.1605,0,2607,iMGL,Basal,0,0,0,0,1,0
MS4A14,TT,615,29.302,2.782,2607,iMGL,Basal,2.724499999999999,NA,NA,0.057500000000000995,0.9609278384610332,-0.05750000000000098
MS4A4A,TT,615,24.3405,-2.179500000000001,2607,iMGL,Basal,-1.477761996000001,0.4660870164577705,0.2084404504459276,-0.7017380039999999,1.6264630008526573,0.7017380039999997
MS4A6A,TT,615,21.7505,-4.769500000000001,2607,iMGL,Basal,-4.35769524,0.4387233737975188,0.19620305742586042,-0.41180476000000077,1.3303489926949235,0.41180476000000066
MS4A7,TT,615,23.187,-3.3329999999999984,2607,iMGL,Basal,-3.3774999999999977,NA,NA,0.04449999999999932,0.9696258054059447,-0.044499999999999366
TBP,TT,615,26.52,0,2607,iMGL,Basal,0,0,0,0,1,0
MS4A14,CC,47,30.255,3.5954999999999977,3182,iMGL,Basal,2.9372999999999996,0.47604078081609763,0.21289190919337442,0.6581999999999981,0.6336684098336366,-0.658199999999998
MS4A4A,CC,47,24.9715,-1.6880000000000024,3182,iMGL,Basal,-1.8485714285714294,0.5408711667741392,0.20443008551567335,0.16057142857142703,0.8946706359231031,-0.16057142857142695
MS4A6A,CC,47,22.2715,-4.388000000000002,3182,iMGL,Basal,-4.712642857142857,0.3455432575773149,0.1306030752521015,0.32464285714285523,0.7984960316322064,-0.32464285714285523
MS4A7,CC,47,24.127,-2.532499999999999,3182,iMGL,Basal,-2.7360714285714294,0.36418509814967154,0.1376490286999543,0.2035714285714305,0.8683981583176021,-0.20357142857143043
TBP,CC,47,26.6595,0,3182,iMGL,Basal,0,0,0,0,1,0
MS4A14,TT,47,30.557,3.2820000000000036,3182,iMGL,Basal,2.9372999999999996,0.47604078081609763,0.21289190919337442,0.344700000000004,0.7874717096835405,-0.34470000000000406
MS4A4A,TT,47,24.815,-2.460000000000001,3182,iMGL,Basal,-1.8485714285714294,0.5408711667741392,0.20443008551567335,-0.6114285714285714,1.5277712749936494,0.6114285714285714
MS4A6A,TT,47,22.5925,-4.6824999999999974,3182,iMGL,Basal,-4.712642857142857,0.3455432575773149,0.1306030752521015,0.03014285714285947,0.9793233191859041,-0.030142857142859494
MS4A7,TT,47,24.5555,-2.7194999999999965,3182,iMGL,Basal,-2.7360714285714294,0.36418509814967154,0.1376490286999543,0.0165714285714329,0.988579278288377,-0.01657142857143284
TBP,TT,47,27.275,0,3182,iMGL,Basal,0,0,0,0,1,0
ADAM17,CC,4_05,28.381500000000003,-0.8064999999999998,3182,iMGL,Basal,-0.9007500000000013,0.38980026936881434,0.19490013468440717,0.0942500000000015,0.936759104823871,-0.09425000000000144
CD33,CC,4_05,26.659,-2.5290000000000035,3182,iMGL,Basal,-2.1472500000000014,0.4686218269208856,0.2343109134604428,-0.38175000000000203,1.3029213507347124,0.38175000000000214
CLEC7A,CC,4_05,25.188,-4,3182,iMGL,Basal,-4.053625,0.1770439564063124,0.0885219782031562,0.053625000000000256,0.9635123074134815,-0.05362500000000024
GAPDH,CC,4_05,22.563,-6.625,3182,iMGL,Basal,-6.678999999999999,0.23721017403700725,0.11860508701850363,0.05399999999999938,0.9632618940201483,-0.053999999999999465
MS4A14,CC,4_05,31.7125,2.524499999999996,3182,iMGL,Basal,2.9372999999999996,0.47604078081609763,0.21289190919337442,-0.4128000000000034,1.3312670476434283,0.4128000000000034
MS4A4A,CC,4_05,27.240499999999997,-1.9475000000000051,3182,iMGL,Basal,-1.8485714285714294,0.5408711667741392,0.20443008551567335,-0.0989285714285757,1.0709777972187555,0.09892857142857574
MS4A6A,CC,4_05,23.853,-5.335000000000001,3182,iMGL,Basal,-4.712642857142857,0.3455432575773149,0.1306030752521015,-0.6223571428571439,1.5393882525057976,0.6223571428571439
MS4A7,CC,4_05,25.8935,-3.294500000000003,3182,iMGL,Basal,-2.7360714285714294,0.36418509814967154,0.1376490286999543,-0.5584285714285735,1.4726642713763078,0.5584285714285735
TBP,CC,4_05,29.188,0,3182,iMGL,Basal,0,0,0,0,1,0
TREM2,CC,4_05,24.575,-4.613000000000003,3182,iMGL,Basal,-4.227625000000001,0.9018186601713983,0.45090933008569917,-0.38537500000000247,1.3061992635932154,0.3853750000000024
TYROBP,CC,4_05,21.7105,-7.477500000000003,3182,iMGL,Basal,-7.080000000000001,0.44186932457458483,0.22093466228729242,-0.39750000000000174,1.317223357788701,0.3975000000000017
ADAM10,TT,11_18,26.11,-2.9845000000000006,3182,iMGL,Basal,-2.4618333333333324,0.29473731242130513,0.17016666666666735,-0.5226666666666682,1.436608211218345,0.5226666666666683
ADAM17,TT,11_18,28.393,-0.7014999999999993,3182,iMGL,Basal,-0.9007500000000013,0.38980026936881434,0.19490013468440717,0.19925000000000193,0.8710032457031159,-0.199250000000002
CD33,TT,11_18,26.4625,-2.6320000000000014,3182,iMGL,Basal,-2.1472500000000014,0.4686218269208856,0.2343109134604428,-0.48475,1.3993433568584115,0.48475000000000007
CLEC7A,TT,11_18,25.003,-4.0915,3182,iMGL,Basal,-4.053625,0.1770439564063124,0.0885219782031562,-0.03787499999999966,1.0266005937031162,0.03787499999999978
GAPDH,TT,11_18,22.7255,-6.369,3182,iMGL,Basal,-6.678999999999999,0.23721017403700725,0.11860508701850363,0.3099999999999996,0.8066417592221266,-0.30999999999999955
MS4A14,TT,11_18,31.8105,2.716000000000001,3182,iMGL,Basal,2.9372999999999996,0.47604078081609763,0.21289190919337442,-0.2212999999999985,1.1657835908143495,0.22129999999999855
MS4A4A,TT,11_18,26.6915,-2.4030000000000022,3182,iMGL,Basal,-1.8485714285714294,0.5408711667741392,0.20443008551567335,-0.5544285714285728,1.4685868341660784,0.5544285714285728
MS4A6A,TT,11_18,24.286,-4.808499999999999,3182,iMGL,Basal,-4.712642857142857,0.3455432575773149,0.1306030752521015,-0.09585714285714175,1.0687001621851182,0.09585714285714174
MS4A7,TT,11_18,26.756500000000003,-2.3379999999999974,3182,iMGL,Basal,-2.7360714285714294,0.36418509814967154,0.1376490286999543,0.39807142857143196,0.758872053412314,-0.398071428571432
TBP,TT,11_18,29.0945,0,3182,iMGL,Basal,0,0,0,0,1,0
TREM2,TT,11_18,23.9365,-5.157999999999998,3182,iMGL,Basal,-4.227625000000001,0.9018186601713983,0.45090933008569917,-0.9303749999999971,1.9057712992140294,0.930374999999997
TYROBP,TT,11_18,21.8105,-7.283999999999999,3182,iMGL,Basal,-7.080000000000001,0.44186932457458483,0.22093466228729242,-0.20399999999999796,1.151887642349356,0.20399999999999796
ADAM10,CC,11_18,26.997,-2.0444999999999993,3182,iMGL,IFNg,-1.984,0.08555992052357114,0.060499999999999214,-0.06049999999999933,1.04282711455681,0.06049999999999943
ADAM17,CC,11_18,28.4905,-0.5509999999999984,3182,iMGL,IFNg,-0.7407499999999985,0.26834702346029493,0.18975000000000009,0.18975000000000009,0.8767576386743392,-0.18975000000000006
CD33,CC,11_18,26.8695,-2.1720000000000006,3182,iMGL,IFNg,-1.7142499999999998,0.6473562581762854,0.45775000000000077,-0.45775000000000077,1.3733982210318423,0.45775000000000066
CLEC7A,CC,11_18,25.004,-4.037500000000001,3182,iMGL,IFNg,-3.9487500000000004,0.12551145366061392,0.08875000000000122,-0.088750000000001,1.0634483753647188,0.0887500000000011
GAPDH,CC,11_18,22.849,-6.192499999999999,3182,iMGL,IFNg,-6.329999999999998,0.19445436482629957,0.1374999999999993,0.1374999999999993,0.9090931295275597,-0.13749999999999934
MS4A14,CC,11_18,31.966,2.924500000000002,3182,iMGL,IFNg,2.6255000000000006,0.4228498551495572,0.2990000000000012,0.29900000000000126,0.8128156019843193,-0.29900000000000115
MS4A4A,CC,11_18,29.457,0.41550000000000153,3182,iMGL,IFNg,0.598250000000002,0.2584475285236837,0.18275000000000038,-0.1827500000000004,1.1350453967241942,0.1827500000000004
MS4A6A,CC,11_18,24.6545,-4.3870000000000005,3182,iMGL,IFNg,-4.4055,0.026162950903901576,0.018499999999999517,0.018499999999999517,0.987258644374183,-0.018499999999999555
MS4A7,CC,11_18,26.584,-2.4574999999999996,3182,iMGL,IFNg,-2.5837499999999984,0.17854446224960163,0.12624999999999884,0.12624999999999886,0.9162098638474572,-0.12624999999999895
TBP,CC,11_18,29.0415,0,3182,iMGL,IFNg,0,0,0,0,1,0
TREM2,CC,11_18,27.5955,-1.445999999999998,3182,iMGL,IFNg,-0.7467499999999987,0.9888888334893856,0.69924999999999915,-0.6992499999999993,1.6236604965019055,0.6992499999999993
TYROBP,CC,11_18,21.7845,-7.256999999999998,3182,iMGL,IFNg,-6.895999999999999,0.5105310960166857,0.3609999999999988,-0.3609999999999989,1.2843158089894247,0.36099999999999893
ADAM10,TT,11_18,26.7095,-2.783999999999999,3182,iMGL,IFNg,-1.984,0.08555992052357114,0.060499999999999214,-0.7999999999999989,1.741101126592247,0.7999999999999988
ADAM17,TT,11_18,28.1465,-1.3469999999999978,3182,iMGL,IFNg,-0.7407499999999985,0.26834702346029493,0.18975000000000009,-0.6062499999999993,1.5222971519793869,0.6062499999999994
CD33,TT,11_18,26.616,-2.8774999999999977,3182,iMGL,IFNg,-1.7142499999999998,0.6473562581762854,0.45775000000000077,-1.163249999999998,2.239613839189049,1.163249999999998
CLEC7A,TT,11_18,24.9945,-4.498999999999995,3182,iMGL,IFNg,-3.9487500000000004,0.12551145366061392,0.08875000000000122,-0.5502499999999948,1.4643394246469628,0.5502499999999949
GAPDH,TT,11_18,22.643,-6.850499999999997,3182,iMGL,IFNg,-6.329999999999998,0.19445436482629957,0.1374999999999993,-0.5204999999999984,1.4344523051628961,0.5204999999999983
MS4A14,TT,11_18,32.510000000000005,3.0165000000000077,3182,iMGL,IFNg,2.6255000000000006,0.4228498551495572,0.2990000000000012,0.3910000000000071,0.7626008266281382,-0.3910000000000071
MS4A4A,TT,11_18,28.515,-0.9784999999999968,3182,iMGL,IFNg,0.598250000000002,0.2584475285236837,0.18275000000000038,-1.5767499999999988,2.982971099091789,1.5767499999999988
MS4A6A,TT,11_18,24.5,-4.993499999999997,3182,iMGL,IFNg,-4.4055,0.026162950903901576,0.018499999999999517,-0.5879999999999974,1.50316147806556,0.5879999999999974
MS4A7,TT,11_18,27.329,-2.1644999999999968,3182,iMGL,IFNg,-2.5837499999999984,0.17854446224960163,0.12624999999999884,0.4192500000000017,0.747813281785796,-0.4192500000000017
TBP,TT,11_18,29.493499999999997,0,3182,iMGL,IFNg,0,0,0,0,1,0
TREM2,TT,11_18,27.0495,-2.4439999999999955,3182,iMGL,IFNg,-0.7467499999999987,0.9888888334893856,0.69924999999999915,-1.6972499999999968,3.242822369151357,1.6972499999999968
TYROBP,TT,11_18,21.465,-8.028499999999998,3182,iMGL,IFNg,-6.895999999999999,0.5105310960166857,0.3609999999999988,-1.1324999999999985,2.1923832233684406,1.1324999999999985
ADAM10,CC,11_18,26.084000000000003,-2.835499999999996,3182,iMGL,LPS,-2.6222499999999993,0.301581042176058,0.2132499999999968,-0.21324999999999683,1.159296825331072,0.21324999999999672
ADAM17,CC,11_18,28.132,-0.7874999999999979,3182,iMGL,LPS,-0.5232499999999991,0.3737059338570886,0.26424999999999876,-0.26424999999999876,1.2010115288928418,0.26424999999999865
CD33,CC,11_18,26.5295,-2.390000000000001,3182,iMGL,LPS,-1.891750000000002,0.7046319074523931,0.4982499999999989,-0.49824999999999897,1.4124991506294458,0.49824999999999886
CLEC7A,CC,11_18,24.9085,-4.010999999999999,3182,iMGL,LPS,-3.805249999999999,0.2909744404582644,0.20575000000000007,-0.2057500000000001,1.1532857385538948,0.20575000000000002
GAPDH,CC,11_18,22.2565,-6.663,3182,iMGL,LPS,-6.691750000000001,0.040658639918227185,0.028750000000000494,0.028750000000000497,0.9802692683446896,-0.02875000000000057
MS4A14,CC,11_18,31.8955,2.975999999999999,3182,iMGL,LPS,3.282499999999999,0.433456456867353,0.30649999999999955,-0.3064999999999998,1.2367037955318028,0.30649999999999966
MS4A4A,CC,11_18,27.3305,-1.5889999999999986,3182,iMGL,LPS,-0.8227499999999992,1.0836411421683834,0.7662499999999994,-0.7662499999999994,1.7008430282305405,0.7662499999999994
MS4A6A,CC,11_18,24.575,-4.3445,3182,iMGL,LPS,-3.869250000000001,0.6721049955178121,0.47524999999999906,-0.47524999999999906,1.3901590951858147,0.4752499999999991
MS4A7,CC,11_18,26.3245,-2.594999999999999,3182,iMGL,LPS,-2.3840000000000003,0.29839906166072094,0.2109999999999985,-0.21099999999999852,1.1574902169901213,0.21099999999999852
TBP,CC,11_18,28.9195,0,3182,iMGL,LPS,0,0,0,0,1,0
TREM2,CC,11_18,24.5435,-4.375999999999998,3182,iMGL,LPS,-2.7590000000000003,2.286783330357291,1.6169999999999973,-1.6169999999999973,3.0673653193461785,1.6169999999999973
TYROBP,CC,11_18,21.8155,-7.103999999999999,3182,iMGL,LPS,-6.31025,1.122532015133643,0.7937499999999992,-0.7937499999999993,1.7335746953966058,0.7937499999999993
ADAM10,TT,11_18,26.082,-2.6759999999999984,3182,iMGL,LPS,-2.6222499999999993,0.301581042176058,0.2132499999999968,-0.053749999999999076,1.0379593903018405,0.053749999999999035
ADAM17,TT,11_18,27.4915,-1.266499999999997,3182,iMGL,LPS,-0.5232499999999991,0.3737059338570886,0.26424999999999876,-0.743249999999998,1.67394253237208,0.743249999999998
CD33,TT,11_18,26.224,-2.533999999999999,3182,iMGL,LPS,-1.891750000000002,0.7046319074523931,0.4982499999999989,-0.6422499999999969,1.5607613962555762,0.6422499999999969
CLEC7A,TT,11_18,24.6995,-4.058499999999999,3182,iMGL,LPS,-3.805249999999999,0.2909744404582644,0.20575000000000007,-0.25324999999999953,1.1918890953213603,0.25324999999999953
GAPDH,TT,11_18,22.2845,-6.473499999999998,3182,iMGL,LPS,-6.691750000000001,0.040658639918227185,0.028750000000000494,0.21825000000000294,0.8596075147046759,-0.21825000000000286
MS4A14,TT,11_18,32.362,3.604000000000003,3182,iMGL,LPS,3.282499999999999,0.433456456867353,0.30649999999999955,0.32150000000000434,0.8002374214349647,-0.3215000000000044
MS4A4A,TT,11_18,26.408,-2.349999999999998,3182,iMGL,LPS,-0.8227499999999992,1.0836411421683834,0.7662499999999994,-1.5272499999999987,2.882358929143425,1.5272499999999987
MS4A6A,TT,11_18,24.208,-4.550000000000001,3182,iMGL,LPS,-3.869250000000001,0.6721049955178121,0.47524999999999906,-0.6807499999999997,1.6029728607003841,0.6807499999999997
MS4A7,TT,11_18,26.3935,-2.3644999999999996,3182,iMGL,LPS,-2.3840000000000003,0.29839906166072094,0.2109999999999985,0.01950000000000074,0.986574565939259,-0.019500000000000735
TBP,TT,11_18,28.758,0,3182,iMGL,LPS,0,0,0,0,1,0
TREM2,TT,11_18,23.743499999999997,-5.014500000000002,3182,iMGL,LPS,-2.7590000000000003,2.286783330357291,1.6169999999999973,-2.2555000000000014,4.774997573442377,2.2555000000000014
TYROBP,TT,11_18,21.224,-7.533999999999999,3182,iMGL,LPS,-6.31025,1.122532015133643,0.7937499999999992,-1.223749999999999,2.3355300376430184,1.223749999999999
ADAM10,CC,02_10,26.7695,-2.7695000000000007,3182,iMGL,Basal,-2.4618333333333324,0.29473731242130513,0.17016666666666735,-0.3076666666666683,1.2377042873859154,0.3076666666666682
ADAM17,CC,02_10,28.6525,-0.8865000000000016,3182,iMGL,Basal,-0.9007500000000013,0.38980026936881434,0.19490013468440717,0.014249999999999652,0.9901712734589622,-0.01424999999999958
CD33,CC,02_10,27.3485,-2.1905,3182,iMGL,Basal,-2.1472500000000014,0.4686218269208856,0.2343109134604428,-0.04324999999999868,1.0304324984951645,0.0432499999999987
CLEC7A,CC,02_10,25.354,-4.185000000000002,3182,iMGL,Basal,-4.053625,0.1770439564063124,0.0885219782031562,-0.13137500000000202,1.0953371449894436,0.13137500000000193
GAPDH,CC,02_10,22.512,-7.027000000000001,3182,iMGL,Basal,-6.678999999999999,0.23721017403700725,0.11860508701850363,-0.34800000000000164,1.2727949352759445,0.3480000000000017
MS4A4A,CC,02_10,27.8435,-1.695500000000003,3182,iMGL,Basal,-1.8485714285714294,0.5408711667741392,0.20443008551567335,0.15307142857142653,0.899333784568531,-0.15307142857142647
MS4A6A,CC,02_10,24.841,-4.698,3182,iMGL,Basal,-4.712642857142857,0.3455432575773149,0.1306030752521015,0.014642857142856514,0.98990167878517,-0.014642857142856491
MS4A7,CC,02_10,26.854,-2.6850000000000023,3182,iMGL,Basal,-2.7360714285714294,0.36418509814967154,0.1376490286999543,0.0510714285714271,0.9652192351893295,-0.05107142857142703
TBP,CC,02_10,29.539,0,3182,iMGL,Basal,0,0,0,0,1,0
TREM2,CC,02_10,24.5935,-4.945500000000003,3182,iMGL,Basal,-4.227625000000001,0.9018186601713983,0.45090933008569917,-0.717875000000002,1.6447576238623798,0.717875000000002
TYROBP,CC,02_10,22.497,-7.042000000000002,3182,iMGL,Basal,-7.080000000000001,0.44186932457458483,0.22093466228729242,0.03799999999999937,0.9740042685432414,-0.0379999999999994
ADAM10,TT,02_10,26.5055,-3.3065,3182,iMGL,Basal,-2.4618333333333324,0.29473731242130513,0.17016666666666735,-0.8446666666666678,1.795849768428422,0.8446666666666678
CD33,TT,02_10,26.976,-2.8359999999999985,3182,iMGL,Basal,-2.1472500000000014,0.4686218269208856,0.2343109134604428,-0.6887499999999971,1.611886320168868,0.688749999999997
CLEC7A,TT,02_10,25.584,-4.227999999999998,3182,iMGL,Basal,-4.053625,0.1770439564063124,0.0885219782031562,-0.17437499999999773,1.1284754241722956,0.17437499999999764
GAPDH,TT,02_10,22.798,-7.013999999999996,3182,iMGL,Basal,-6.678999999999999,0.23721017403700725,0.11860508701850363,-0.3349999999999964,1.2613774088312464,0.33499999999999636
MS4A14,TT,02_10,34.7,4.888000000000005,3182,iMGL,Basal,2.9372999999999996,0.47604078081609763,0.21289190919337442,1.9507000000000057,0.2586906830023897,-1.9507000000000057
MS4A4A,TT,02_10,26.699,-3.1129999999999995,3182,iMGL,Basal,-1.8485714285714294,0.5408711667741392,0.20443008551567335,-1.2644285714285701,2.402320389670576,1.26442857142857
MS4A6A,TT,02_10,24.6125,-5.199499999999997,3182,iMGL,Basal,-4.712642857142857,0.3455432575773149,0.1306030752521015,-0.48685714285714,1.4013886752659324,0.4868571428571399
MS4A7,TT,02_10,26.3995,-3.412499999999998,3182,iMGL,Basal,-2.7360714285714294,0.36418509814967154,0.1376490286999543,-0.6764285714285685,1.598178522218484,0.6764285714285685
TBP,TT,02_10,29.812,0,3182,iMGL,Basal,0,0,0,0,1,0
TREM2,TT,02_10,23.571,-6.240999999999996,3182,iMGL,Basal,-4.227625000000001,0.9018186601713983,0.45090933008569917,-2.0133749999999955,4.037255803683619,2.0133749999999955
TYROBP,TT,02_10,21.825,-7.986999999999998,3182,iMGL,Basal,-7.080000000000001,0.44186932457458483,0.22093466228729242,-0.9069999999999974,1.875142192914216,0.9069999999999973
ADAM10,TT,4_05,26.774,-2.3429999999999964,3182,iMGL,Basal,-2.4618333333333324,0.29473731242130513,0.17016666666666735,0.11883333333333601,0.920932081305874,-0.11883333333333596
ADAM17,TT,4_05,28.2915,-0.8254999999999981,3182,iMGL,Basal,-0.9007500000000013,0.38980026936881434,0.19490013468440717,0.07525000000000315,0.9491776267496342,-0.07525000000000323
CD33,TT,4_05,26.595,-2.5219999999999985,3182,iMGL,Basal,-2.1472500000000014,0.4686218269208856,0.2343109134604428,-0.37474999999999703,1.2966148489505984,0.3747499999999971
CLEC7A,TT,4_05,25.1085,-4.008499999999998,3182,iMGL,Basal,-4.053625,0.1770439564063124,0.0885219782031562,0.0451250000000023,0.9692058380102564,-0.045125000000002316
GAPDH,TT,4_05,22.527,-6.589999999999996,3182,iMGL,Basal,-6.678999999999999,0.23721017403700725,0.11860508701850363,0.08900000000000308,0.9401742025091241,-0.08900000000000302
MS4A14,TT,4_05,32.1965,3.079500000000003,3182,iMGL,Basal,2.9372999999999996,0.47604078081609763,0.21289190919337442,0.14220000000000343,0.9061363123937837,-0.14220000000000343
MS4A4A,TT,4_05,27.192,-1.9249999999999972,3182,iMGL,Basal,-1.8485714285714294,0.5408711667741392,0.20443008551567335,-0.07642857142856774,1.0544046014473112,0.07642857142856771
MS4A6A,TT,4_05,24.148000000000003,-4.968999999999994,3182,iMGL,Basal,-4.712642857142857,0.3455432575773149,0.1306030752521015,-0.2563571428571372,1.1944588418274957,0.2563571428571372
MS4A7,TT,4_05,26.3465,-2.7704999999999984,3182,iMGL,Basal,-2.7360714285714294,0.36418509814967154,0.1376490286999543,-0.03442857142856903,1.0241510927193629,0.03442857142856911
TBP,TT,4_05,29.116999999999997,0,3182,iMGL,Basal,0,0,0,0,1,0
TREM2,TT,4_05,24.0655,-5.051499999999997,3182,iMGL,Basal,-4.227625000000001,0.9018186601713983,0.45090933008569917,-0.8238749999999966,1.7701541503447427,0.8238749999999966
TYROBP,TT,4_05,21.737,-7.3799999999999955,3182,iMGL,Basal,-7.080000000000001,0.44186932457458483,0.22093466228729242,-0.2999999999999945,1.2311444133449116,0.29999999999999455
ADAM10,CC,10_22,26.6825,-2.1819999999999986,3182,iMGL,Basal,-2.4618333333333324,0.29473731242130513,0.17016666666666735,0.2798333333333338,0.8236861677288321,-0.2798333333333339
ADAM17,CC,10_22,28.379,-0.4855000000000018,3182,iMGL,Basal,-0.9007500000000013,0.38980026936881434,0.19490013468440717,0.41524999999999945,0.7498895374286499,-0.41524999999999945
CD33,CC,10_22,27.3885,-1.475999999999999,3182,iMGL,Basal,-2.1472500000000014,0.4686218269208856,0.2343109134604428,0.6712500000000023,0.6279623635574433,-0.6712500000000023
CLEC7A,CC,10_22,25.038,-3.8264999999999993,3182,iMGL,Basal,-4.053625,0.1770439564063124,0.0885219782031562,0.2271250000000009,0.8543357151338328,-0.22712500000000085
GAPDH,CC,10_22,22.3045,-6.559999999999999,3182,iMGL,Basal,-6.678999999999999,0.23721017403700725,0.11860508701850363,0.11900000000000066,0.9208256972050395,-0.11900000000000065
