Target Name,Genotype,Experiment,avgCT,dCT,Line,Cell_type,Treatment,mean_dCT,sd_dCT,se,ddCT,FC,log2FC
MS4A4A,CC,1,24.53,-0.7824999999999989,2607,iMGL,Basal,-1.477761996000001,0.4660870164577705,0.2084404504459276,0.6952619960000022,0.6175971516314708,-0.6952619960000022
MS4A4A,CC,5,24.703845975,-1.8709831250000024,2607,iMGL,Basal,-1.477761996000001,0.4660870164577705,0.2084404504459276,-0.3932211290000014,1.3133224094151625,0.3932211290000014
MS4A4A,CC,6,24.487558365,-1.5766067500000034,2607,iMGL,Basal,-1.477761996000001,0.4660870164577705,0.2084404504459276,-0.09884475400000237,1.0709155775570067,0.09884475400000237
MS4A4A,CC,7,24.789862635,-1.2627201049999996,2607,iMGL,Basal,-1.477761996000001,0.4660870164577705,0.2084404504459276,0.21504189100000137,0.8615211436793984,-0.2150418910000014
MS4A4A,TT,1,24.423,-1.8164999999999976,2607,iMGL,Basal,-1.477761996000001,0.4660870164577705,0.2084404504459276,-0.33873800399999654,1.264649858822631,0.33873800399999643
MS4A4A,TT,5,24.569485665,-1.7147426599999989,2607,iMGL,Basal,-1.477761996000001,0.4660870164577705,0.2084404504459276,-0.23698066399999784,1.1785236123146194,0.23698066399999784
MS4A4A,TT,6,24.74887943,-1.5811033300000013,2607,iMGL,Basal,-1.477761996000001,0.4660870164577705,0.2084404504459276,-0.10334133400000023,1.0742586054477683,0.10334133400000037
MS4A4A,TT,7,24.28306484,-1.871623039999996,2607,iMGL,Basal,-1.477761996000001,0.4660870164577705,0.2084404504459276,-0.393861043999995,1.313905069713104,0.39386104399999505
MS4A6A,CC,1,21.709,-3.6035,2607,iMGL,Basal,-4.35769524,0.4387233737975188,0.19620305742586042,0.75419524,0.5928770101974739,-0.7541952400000002
MS4A6A,CC,5,21.831671715,-4.7431573850000035,2607,iMGL,Basal,-4.35769524,0.4387233737975188,0.19620305742586042,-0.38546214500000353,1.3062781660428278,0.38546214500000364
MS4A6A,CC,6,21.514279365,-4.549885750000001,2607,iMGL,Basal,-4.35769524,0.4387233737975188,0.19620305742586042,-0.19219051000000142,1.1424971053092918,0.19219051000000142
MS4A6A,CC,7,21.606149675,-4.446433064999997,2607,iMGL,Basal,-4.35769524,0.4387233737975188,0.19620305742586042,-0.08873782499999727,1.063439400890575,0.08873782499999733
MS4A6A,TT,1,21.843,-4.3965,2607,iMGL,Basal,-4.35769524,0.4387233737975188,0.19620305742586042,-0.03880475999999966,1.027262410492724,0.03880475999999974
MS4A6A,TT,5,21.668128965,-4.61609936,2607,iMGL,Basal,-4.35769524,0.4387233737975188,0.19620305742586042,-0.2584041199999998,1.196154810325247,0.2584041199999998
MS4A6A,TT,6,21.765557289999997,-4.564425470000003,2607,iMGL,Basal,-4.35769524,0.4387233737975188,0.19620305742586042,-0.20673023000000335,1.1540695975018906,0.20673023000000343
MS4A6A,TT,7,21.242018700000003,-4.912669179999995,2607,iMGL,Basal,-4.35769524,0.4387233737975188,0.19620305742586042,-0.5549739399999947,1.4691420953144876,0.5549739399999946
P2RY12,CC,1,23.9995,-1.3130000000000024,2607,iMGL,Basal,-1.3130000000000024,NA,NA,0,1,0
P2RY12,TT,1,23.959,-2.2805,2607,iMGL,Basal,-1.3130000000000024,NA,NA,-0.9674999999999976,1.9554491224204622,0.9674999999999976
TBP,CC,1,25.3125,0,2607,iMGL,Basal,0,0,0,0,1,0
TBP,CC,5,26.5748291,0,2607,iMGL,Basal,0,0,0,0,1,0
TBP,CC,6,26.064165115,0,2607,iMGL,Basal,0,0,0,0,1,0
TBP,CC,7,26.05258274,0,2607,iMGL,Basal,0,0,0,0,1,0
TBP,TT,1,26.2395,0,2607,iMGL,Basal,0,0,0,0,1,0
TBP,TT,5,26.284228325,0,2607,iMGL,Basal,0,0,0,0,1,0
TBP,TT,6,26.32998276,0,2607,iMGL,Basal,0,0,0,0,1,0
TBP,TT,7,26.154687879999997,0,2607,iMGL,Basal,0,0,0,0,1,0
TREM2,CC,5,21.838944435,-4.735884665,2607,iMGL,Basal,-4.380286535,0.32073002487070656,0.18517356619629782,-0.3555981300000006,1.2795159485604481,0.35559813000000073
TREM2,CC,6,21.772066115,-4.292099,2607,iMGL,Basal,-4.380286535,0.32073002487070656,0.18517356619629782,0.08818753499999943,0.9407038180818225,-0.08818753499999939
TREM2,CC,7,21.9397068,-4.112875939999999,2607,iMGL,Basal,-4.380286535,0.32073002487070656,0.18517356619629782,0.2674105950000012,0.8308093772959033,-0.26741059500000125
TREM2,TT,5,21.68571377,-4.598514555000001,2607,iMGL,Basal,-4.380286535,0.32073002487070656,0.18517356619629782,-0.21822802000000152,1.1633038888504597,0.2182280200000016
TREM2,TT,6,22.14625168,-4.183731080000001,2607,iMGL,Basal,-4.380286535,0.32073002487070656,0.18517356619629782,0.1965554549999986,0.8726315527704855,-0.19655545499999852
TREM2,TT,7,21.98113823,-4.173549649999998,2607,iMGL,Basal,-4.380286535,0.32073002487070656,0.18517356619629782,0.20673688500000154,0.8664948710898831,-0.20673688500000162
MS4A14,CC,615,28.885,2.724499999999999,2607,iMGL,Basal,2.724499999999999,NA,NA,0,1,0
MS4A4A,CC,615,24.2645,-1.8960000000000008,2607,iMGL,Basal,-1.477761996000001,0.4660870164577705,0.2084404504459276,-0.4182380039999998,1.3362945111199238,0.4182380039999998
